suburb_id,suburb_name,council,latitude,longitude,heat_intensity,heat_category,heat_rank,vegetation_total,vegetation_rank,tree_coverage,area_hectares
ferntree_gully_(south)___upper_ferntree_gully,Ferntree Gully (South) - Upper Ferntree Gully,Knox (C),-37.89,145.28,7.0,Moderate Heat,206,38.2,63,16.5,914.97
fitzroy,Fitzroy,Yarra (C),-37.8,144.98,8.23,High Heat,144,15.0,298,10.8,137.77
fitzroy_north,Fitzroy North,Moreland (C),-37.77,144.98,7.75,Moderate Heat,173,37.0,77,15.6,16.07
fitzroy_north,Fitzroy North,Yarra (C),-37.78,144.98,8.33,High Heat,138,24.9,255,13.9,234.41
flemington,Flemington,Moonee Valley (C),-37.78,144.93,8.74,High Heat,115,29.0,196,17.5,158.06
flemington_racecourse,Flemington Racecourse,Melbourne (C),-37.79,144.91,8.99,High Heat,101,44.1,39,7.3,170.91
flinders,Flinders,Mornington Peninsula (S),-38.43,144.99,0.74,Low Heat,254,65.2,9,27.6,28746.17
footscray,Footscray,Maribyrnong (C),-37.8,144.9,9.54,High Heat,68,20.9,283,8.2,496.65
forest_hill,Forest Hill,Whitehorse (C),-37.84,145.17,8.03,High Heat,156,32.1,144,16.7,407.02
frankston,Frankston,Frankston (C),-38.15,145.14,8.02,High Heat,157,30.0,182,14.9,1162.61
frankston_north,Frankston North,Frankston (C),-38.14,145.15,8.73,High Heat,116,34.0,113,15.1,1323.93
frankston_south,Frankston South,Frankston (C),-38.17,145.13,6.46,Moderate Heat,221,44.6,36,22.6,1456.21
gisborne,Gisborne,Macedon Ranges (S),-37.52,144.6,6.41,Moderate Heat,223,32.1,145,12.6,8076.87
gladstone_park___westmeadows,Gladstone Park - Westmeadows,Hume (C),-37.68,144.89,10.0,High Heat,47,38.7,59,9.2,1393.4
glen_iris___east,Glen Iris - East,Boroondara (C),-37.85,145.07,7.33,Moderate Heat,192,34.4,108,20.6,570.45
glen_waverley___east,Glen Waverley - East,Monash (C),-37.88,145.18,8.27,High Heat,141,35.6,94,15.6,916.38
